"lat","long","date","waterbody","reach_length(m)","avg_reach_width(m)","method","EBT<140mm","potentially_stocked_EBT","BT<140mm","potentially_stocked_BT","RT<140mm","potentially_s
tocked_RT","Location_Description","Habitat_Comment"
42.70585,-72.8748,"8/8/2007","Tuttle Brook",70,3,"Backpack Shocking",2,4,0,0,0,0,"Upstream of Davis Mine Rd","Dominant substrate sand, boulder. Outflow of beaver impoundment. Pine, yellow birch, hemlock, balsam fir forest. CFR"
42.68645,-73.01212,"7/29/2007","Cascade Brook",68,1.5,"Backpack Shocking",106,23,0,0,0,0,"Upstream of Monroe Rd culvert & confluence of small pond","Cobble, boulder, gravel substrate. Majority of the site is forested, the bottom portion of the site is in a wetland. CFR"
42.68901,-72.99992,"7/31/2007","Fife Brook",95,6,"Backpack Shocking",64,2,0,0,0,0,"Monroe Rd upstream of culvert","Cobble, gravel, & boulder. Hemlock/birch overstory. Fast flow & low conductivity. Bottom of site 42.68845, 72.99964. CFR"
42.72441,-72.97535,"8/3/2007","Haley Brook",95,11,"Backpack Shocking",19,6,0,0,0,0,"Tilda->Main->North St, US of Main Rd xing, just W of North St","Downstream of culvert ->beaver damn below culvert recently taken out. Site is located below previously impounded area. Dominant substrate boulder, sand, cobble. Adjacent area has been previously logged. Canopy cover still intact. Heavy silt from beaver. Bottom of site 42.72359
72.97475. CFR"
42.64448,-72.99173,"7/9/2007","Manning Brook",85,6,"Backpack Shocking",39,4,0,0,0,0,"Rt 2 pulloff, S of South County Rd 0.6mi","Stop at pulloff along Rt 2. Tires & barrels along stream bank & in stream. Large quantity of large woody debris in stream. Overstory of hemlock. Step pool riffle system dominated by cobble, gravel & boulders. CFR"
41.5505,-71.10562,"6/15/2007","Angeline Brook",128,0,"Backpack Shocking",7,12,0,0,0,0,"Above Cornell Rd","Moss covered boulders. Abundant caddis. Some woody debris. Salamander eggs. Sample ID 2270 done below Cornell Rd, was a selective pick-up for EBT."
41.74543,-70.11189,"7/10/2007","Stony Brook",64,2,"Backpack Shocking",0,0,0,1,0,0,"below footbridge below Stoney Brook Road, WPS","met with Dana Condit Brewster Herring Warden. Cobble bottom, water willow overgrows stream"
41.58679,-71.07608,"7/13/2007","Snell Creek",58,2.5,"Backpack Shocking",17,16,0,0,0,0,"Below driveway east of drift road, 0.7mi S of Charlotte White Rd","Large sand deposits on inside of bends, must less water in channel than in 1990. large boulders interspersed with gravel and sand. CFR"
41.58733,-71.0771,"7/13/2007","Tripp Brook",98,2,"Backpack Shocking",12,2,0,0,0,0,"Driveway off Drift Rd","Culvert blocks fish migration. 2 YOY EBT found as well. CFR"
41.76788,-70.63575,"7/23/2007","Red Brook",55,3,"Backpack Shocking",36,6,0,0,0,0,"up from Robbins Dam, off Monark Rd, <0.5mi N of Red Brook Rd","Search for implanted trout. Nice gravel bottomed section above Robbins Dam removal site. Braided well shaded area with alders & large sediment deposits upstream. 2 section, 2nd section was selective pickup for EBT (SID 2777)"
41.54997,-71.10565,"6/15/2007","Angeline Brook",52,NA,"Backpack Shocking",0,25,0,0,0,0,"Below Cornell Rd","Selective pickup for EBT, 2 pools above footbridge. Few RP, AE. Done below Sample ID 2265. See SID 2265 for temps, habitat assess sheets & comments."
41.9113129,-70.6458918,"10/19/2006","Eel River",82,3,"Backpack Shocking",1,2,0,0,0,0,"up from Long Pond Road <0.2mi E of Boot Pond Rd","22 minutes 1st stretch, 15 minutes upstream. BM present"
42.7143,-73.08399,"8/27/2007","Hoosic River (N.B.)",450,2,"Backpack Shocking",1,2,2,6,0,0,"Immediately downstream of Briggsville Dam","3 backpack shockers used! Boulder dominated substrate, sand & gravel immediately below the dam. Approx. 50% of habitat is cascade, 25% riffle, & 25% pool. Cascade School Supplies. CFR"
42.30822,-71.99866,"9/25/2007","BROWNING POND",NA,NA,"Boat Shocking",0,0,0,1,0,0,"Browning P. Rd ramp (access)","Shocked shallow areas w/ yoy LMB, YP, CP netted. Also found BM & K. Site #1 several large LMB (283, 292, 463, 557, 550) 3 runs @ 900 sec each."
42.03501,-71.4817,"7/12/2007","Arnolds Brook",50,2,"Backpack Shocking",12,0,0,0,0,0,"Pulaski Boulevard downstream","CFR"
42.59458,-72.36153,"8/9/2007","Whetstone Brook",73.69999695,1.5,"Backpack Shocking",27,6,0,0,0,0,"from Millers River up to Wendell Depot Rd","CFR"
42.38041,-71.85594,"7/26/2006","Quinapoxet River",50,1,"Backpack Shocking",0,1,1,5,0,1,"Mill St crossing S, W of Rt 31","2 BT netted wild, EBT. Covered 70% of river using backpack w/ rat tail. 1 probe not working. 1 AS parr (60) vouchered, Voucher fish verified as BT."
42.61936,-72.19494,"8/30/2001","Millers River",70,4,"Barge Shocking",0,0,0,2,0,0,"Bears Den Cons. Area, 0.2mi DS of W. Gulf Br confluence","Fair efficiency. About 50% of river corvered. BT stocked. Mainly pool habitat. Note: Runs are not sepearte in Length Freq. database due to lack of run times & specific locations for each run (seconds & locations were lumped together)."
42.64441,-73.26704,"9/7/2007","Green River (W.B.)",NA,4,"Backpack Shocking",2,0,54,28,0,0,"Off Rt 43 behind Hemlock Farms, 0.6mi S of Oblong Rd","Small gravel substrate. Top of site pool formed by old beaver dam. Site is located off a pasture with little riparian vegetation. CFR"
42.21806,-72.8363,"7/17/2007","Bearden Brook",98,2,"Backpack Shocking",54,2,0,0,0,0,"Pomeroy Rd- Downstream of culvert, W of Herrick Rd.","CFR
Bottom Lat 42.21790 Lon. 72.83780"
42.26257,-73.07617,"9/10/2007","West Branch Walker Brook",45,0.5,"Backpack Shocking",1,1,0,0,0,0,"Between King Richard Dr xing & Rt 20.","Very low flow. Beaver pond upstream from rd. Rt 20. Section between Rt 20 & xing at Alan A Dale Rd cement box culvert in good condition. 2 3.5' deep pools at outlest 7' across."
42.11389,-72.22595,"9/12/2007","Charles Brook",45,3,"Backpack Shocking",37,11,0,0,0,0,"off Rte 20 - Hollow Rd xing, 1st xing","Beaver impacted above xing stream goes subsurface for 1/2mi or so. Downstream channelized heavily by possible old RR grade & house on RB. Some stone & concrete dam structures throughout reach & some of bottom of stream cemented. Dark tannic water. Reach ends at Farm. BM vouchered. CFR"
42.05103,-72.29889,"9/12/2007","Sawmill Brook",74.09999847,2,"Backpack Shocking",27,0,0,0,0,0,"Ayers Rd, upstream of xing, just E of Cedar Swamp Rd","Sampled upstream of CMP xing, poold Ds badly sedimented by road drainage outlet. Should be outlet protected to prevent sedimentation. Call public works. Good riparian overstory & understory. *Coordinates changed so that GPS point is on stream*. CFR"
42.41153,-73.01395,"9/6/2007","Pierce Brook",42,1,"Backpack Shocking",73,2,0,0,0,0,"Kreutzer Rd - dirt rd walk ~ 300ft to bk","Once rd turns to dirt must walk last 800 ft to rd xing at beaver impacted area. Stream almost dry at this point. Sampled downstream. CFR"
42.05723,-72.14653,"9/18/2007","UNT to Hamilton Reservoir",55,0.5,"Backpack Shocking",11,2,0,0,0,0,"Rt 20-Holland Rd-Leno Rd-Kimble Hill Rd xing (US side of xing)","Upstream of Kimble Hill Rd xing 200', fish in lateral scour pools around tree roots. More depth in thru stream ~1'. At top of reach gradient increases and stream width decreases. Good riparian, major. Overstory canopy & subject to raod drainage at xing. CFR"
42.36091,-72.99385,"9/6/2007","UNT to Glendale Brook",100,5.800000191,"Backpack Shocking",23,1,0,0,0,0,"Chipman Rd xing @ Root Rd, upstream of xing","Sampled in steady pools min flow until stream dried up. End of reach adj. to an abandoned well shaft or some such struct. On LB. Most fish in two 2' (W) x 5' (L) pools, other small pools w/ 2-3 fish/pool. CFR"
42.14502,-72.20937,"9/12/2007","West Brook",100,4.519999981,"Backpack Shocking",31,2,0,0,0,0,"Rt 19/Warren Rd - rd xing walk 150' down to confl w/ West B.","had to walk down trib from Rt 19, Next to old dump (gate). EBT in trib near confluence w/ West Brook. Small stream, mossy banks, some lg substrate, not much water, pools depth <1'. CFR"
42.13786,-72.93256,"9/24/2007","Middle Brook",80,2.529999971,"Backpack Shocking",12,0,0,0,0,0,"Rte 23- Beech Hill Rd- North Rd - Gated SWS dirt rd, across Res edge to creek","Access difficult because of gates DWS up road. Res level down. No riparian. Habitat excellent. Pools deep. Lakeshore limited. Low water, but good wood structures. 300' to reservoir. *Comments difficult to read* CFR"
42.42693,-72.97978,"9/6/2007","Middle Branch Westfield River",100,1.50999999,"Backpack Shocking",17,6,0,0,0,0,"Lindsay Hill Rd xing. East of Brown Hill Rd","Majority of habitat limited to two small pools 2'wx3' long and one lg pool 20'x30' and one sm pool above xing where 2 fish were found. CFR"
42.20195,-72.81733,"9/4/2007","UNT to Westfield Reservoir",100,4.5,"Backpack Shocking",5,0,0,0,0,0,"Russell Rd xing, S of Old House Rd","Above Rd xing, low gradient run, riffle. Stream width quickly reduced to 2-3 ft. Algal growth. All fish found in first 100 ft. High tanning evident and channeliztion from old stone canal. CFR"
42.13866,-72.87314,"9/4/2007","Pitcher Brook",100,2.650000095,"Backpack Shocking",35,3,0,0,0,0,"South Quarter Rd xing ~1.5mi W of General Knox Rd","Creek dry above xing, sampled downstream from culvert. Very low water, but good pools, 0.5-1 ft in depth that were holding all the fish. Mossy banks only bed area around road xing. CFR"
42.14643,-72.13324,"9/18/2007","UNT to Freeman's Brook (1)",100,2.299999952,"Backpack Shocking",14,1,0,0,0,0,"Sturbridge/Brookfield Rd. House #39 (across from)","Sec#2
hemlock forest dominated, good root undercuts. Goos sm. Pool formation. Walked up from confluence w/ E. Brimfield Res. 100' to begin reach. CFR"
41.94964,-70.65277,"9/14/2007","Holmes Point Brook",100,4.300000191,"Backpack Shocking",23,17,0,0,0,0,"Above & Below Route 3A, Between Brookside Ave & Nook Rd","Four distinct segments, evidence of recent large erosion & flows. CFR"
41.53668,-71.0915,"7/20/2007","Dunhams Brook",100,5,"Backpack Shocking",17,5,0,0,0,0,"Farm Road crossing, below Main Rd, 1/3mi W of Main Rd","Between house and barn through gate, field on left, granite block road crossing. Pool below road, sampled just below road crossing upstream. CFR"
42.5545,-73.026,"10/21/2007","UNT to Westfield River (6)",100,3.700000048,"Backpack Shocking",6,0,0,0,0,0,"Griffin Hill Rd xing upstream to step pools & falls 150'","Abv. Griffin Hill Rd xing. Culvert had debris in it, impd. Below concrete dam. Landowner (22 yrs ) told me it was old bar., that was the pond. EBT found above in high quality small pools. Brk had flowed all summer long according to landowner. CFR"
42.04736,-72.23185,"9/12/2007","UNT to Delphi Brook",100,6.800000191,"Backpack Shocking",9,0,0,0,0,0,"Rte 19 across from #112, 0.3mi S of Ainsworth Hill Rd","Stream to small to sample US of xing. Only 2 sm pools before stream runs subsurface for ~100's before meandering back & forth in beaver caused swamp. (1-2) fish found in this section. As stream goes bad into forested hemlock  with undercuts and depth <6"" EBT reappeared in greater #'s. CFR"
42.14371,-72.90523,"9/25/2007","Richards Brook",100,3.299999952,"Backpack Shocking",15,2,0,0,0,0,"Rt 23-South St-Dirt Rd-gated SES Rd","Res. level low approx 1000ft of subsurface flow, Res. evident of channel, mostly standing pools. Very few shallow habitats, saw moose. Channel incised but bank well covered w/ veg. CFR"
42.1217,-72.92554,"9/25/2007","Phelon Brook",100,5.199999809,"Backpack Shocking",35,3,0,0,0,0,"Phelon Rd xing US 300', 1/3 mi E of North Ln","Above concrete culvert xing, pool habitat, great cover, structure, good temp, shade. Some erosion around sing and logging on left bank to approx 100 ft from channel. CFR"
41.5274,-71.07433,"7/20/2007","Boiling Spring Brook",100,0,"Backpack Shocking",14,7,0,0,0,0,"Drift Rd/Hotel Hill Rd xing, just west of Route 88","Small well shaded stream. YOY EBT just above road. Most fish from 2' deep pool. Silt covered cobbles with moss. CFR"
41.9077,-71.07528,"7/31/2007","UNT to Taunton River",104,2.230000019,"Backpack Shocking",0,8,0,0,0,0,"Winding Brook Rd xing above and below","small stream in condo complex just off Rt 44. 2.5' deep muck bottomed pool below rd. sand & silt bottom. Some undercut banks, cobble at road crossing. 6-12"" diameter red maple & white pine branches in stream, bend pools 1-1.5' deep. Amps fluctuated, had to keep pulsing."
42.10035,-70.71483,"8/27/2007","Marshfield Fairgrounds Brook",100,5.400000095,"Backpack Shocking",38,16,0,0,0,0,"Marshfield Fairground back lot, off Rt 3A","Erosion sedimentation from fairground parking area & bridge crossing. CFR"
42.48785,-71.67057,"8/28/2007","Ponakin Brook",100,4.199999809,"Backpack Shocking",0,1,0,0,0,0,"South of Shofelt Rd",""
42.50381,-71.65804,"8/29/2007","Slaterock Brook",100,2.5,"Backpack Shocking",3,1,0,0,0,0,"Combat Rd xing","CFR"
42.49607,-71.67294,"8/29/2007","Ponakin Brook",100,4.670000076,"Backpack Shocking",33,0,0,0,0,0,"Shoefelt Rd (north)","CFR"
42.49711,-71.68065,"8/28/2007","Spectacle Brook",100,2.900000095,"Backpack Shocking",0,2,0,0,0,0,"West of Bivouac Rd (Shoefelt Rd) downstream",""
42.51674,-71.65579,"8/28/2007","UNT to Slaterock Brook",100,5.800000191,"Backpack Shocking",63,12,0,0,0,0,"South of Rt 2 downstream, just E of Shirley Rd Exit on Rt 2","Low water, fish mostly located in pools. All the larger EBTs were caught in a plunge pools at Rt 2. CFR"
42.06311,-71.21577,"7/12/2007","Rumford River",100,4,"Backpack Shocking",0,11,0,0,0,0,"Cocasset St xing Downstream, 0.1mi W of Adams St",""
42.58273,-71.92518,"7/26/2007","Carlson Brook",100,2.200000048,"Backpack Shocking",29,2,0,0,0,0,"E. Gardner Rd xing (High Ridge WMA) E of Gardner town line","2 runs; 612 -1st & 2nd-453. Sampled brook in WMA. Good mixture - rocky, deep & shallow pools w/ riffles. Wild EBTs w/ multiple age classes. CFR"
42.50781,-71.89328,"7/9/2007","Bolton Brook",100,9.300000191,"Backpack Shocking",13,2,0,0,0,0,"Bolton Rd crossing N","15 wilde EBT ranging 100-170mm. 2 runs N & S of Bolton Rd. Excellent canopy w/ drop down pools. No YOY age class. Beaver impoundment at head water. CFR"
42.32135,-72.14709,"7/3/2007","Winimusset Brook",NA,0,"Backpack Shocking",68,1,0,0,0,0,"NW of Wine Rd downstrean of Wine Rd, 1/3mi E of West Rd","Section had an unsampleable undercut bank. CFR"
42.07381069,-71.70297214,"8/7/2007","Wellman Brook",100,2.099999905,"Backpack Shocking",54,17,0,0,0,0,"SW of Rt 16 Downstream, between Rt 16 & Davis St","Lots of EBTs - 71. Multiple age classes ranging 50mm - 175mm."
42.03271386,-71.67146726,"8/14/2007","Laurel Brook",54.90000153,1,"Backpack Shocking",32,7,0,0,0,0,"West St crossing E & W","2 backpacks, 1-East of crossing & 1 West of crossing. E. side channelized & W normal flow. Wild EBTs ranging (50-165)-39. CFR"
42.69042,-72.22484,"8/15/2007","East Branch Tully River",59.40000153,0,"Backpack Shocking",2,5,0,0,0,0,"Rte 68 crossing N & S","Rocky w/ long pools & riffles. Backpack w/ 2 probes. 7 wild EBTs (64-208). Past stocked river 1980's (early). Acidic problem in past years. CFR"
42.37476,-72.08738,"9/18/2007","Burrow Brook",42.70000076,3,"Backpack Shocking",26,10,0,0,0,0,"Woods Rd crossing, just W of Oakview Ln","Sampled south of crossing. Excellent habitat - canopy, drop down pools & riffles. Found man made dam on brk, within last 5 yrs. Creating long pools - med depth. 37 wild EBTs found (62-169). CFR"
42.6676,-72.26788,"8/15/2007","Fish Brook",55.5,3,"Backpack Shocking",31,2,0,0,0,0,"Woods Rd crossing,","Sampled area E of road crossing. Wild EBTs. Survey area below WMA, stream crosses thru WMA. Mix of rock gravel & undercut banks. CFR"
42.61194,-72.63333,"7/30/2007","Allen Brook",61,0.899999976,"Backpack Shocking",16,3,0,0,0,0,"Colrain Rd xing, just S of Old Gorge Rd","CFR"
42.50211,-72.64439,"8/16/2007","Mill River (4)",115,4.599999905,"Backpack Shocking",0,0,18,8,0,0,"Rt 116 (Pekarski's), E of Mathews Rd","No brook trout, but BT found. CFR"
42.45417,-72.64111,"8/28/2007","Esther Brook",NA,NA,"Backpack Shocking",23,1,0,0,0,0,"North St xing (US), N of Swamp Rd 0.75mi.","CFR"
42.4125,-72.62672,"8/16/2007","Mill River (4)",98.5,4,"Backpack Shocking",0,0,1,0,0,0,"N of Mountain Rd, next to I-91","Channelized, no structure, no cover."
42.57961,-72.37967,"8/9/2007","Osgood Brook",22.89999962,1,"Backpack Shocking",2,4,1,4,0,0,"from Wendell Depot Rd US to New Salem Rd","CFR"
42.62528,-72.63208,"7/30/2007","Punch Brook",22.89999962,2,"Backpack Shocking",6,3,0,0,0,0,"Green River Rd xing, just SW of Mary Potter Ln","CFR"
42.46036,-72.64433,"8/30/2007","Roaring Brook (1)",44.20000076,1.5,"Backpack Shocking",7,6,0,1,0,0,"North St (across from New England Wildflower Society)","Higher water, cloudy water. CFR"
42.39367,-72.64687,"8/6/2006","UNT to Running Gutter",NA,2,"Backpack Shocking",30,0,0,0,0,0,"off Rocks Rd downstream (south) of Reservoir Rd xing","Culvert at Road xing (not included in survey) contained a dozen EBT 6-8"". Only pool w/ more than 6"" of water. CFR"
42.32482,-71.74823,"9/13/2007","UNT to Sewall Pond",39.59999847,3,"Backpack Shocking",11,6,0,0,0,0,"Nicholas Ave crossing upstream","Multiple age-class brook trout present, water cold. CFR"
42.37354,-72.0987,"9/18/2007","Bell Brook",45.70000076,4,"Backpack Shocking",27,8,0,0,0,0,"Woods Rd. crossing N & S, just W of Company Farm Rd","Sampled both sides of crossing. Backpack w/ 2 probes. Rocky w/ drop down pools. Multiple age classes of wilde 36-EBTs (56-204). Frogs & crayfish also present. Fine sediment found along brk-development above. CFR"
42.5798476,-71.91077798,"7/26/2007","Lemerise Brook",57.90000153,3,"Backpack Shocking",2,1,0,0,0,0,"E. Gardner Rd crossing, N of Mossman Rd","Sampled area between 2 ponded areas. 3 wild EBTs found. CFR"
42.17519,-71.72838,"8/14/2007","Cold Spring Brook (2)",45.70000076,2,"Backpack Shocking",5,4,3,8,0,0,"Rt 122A crossing - S (US), just W of Old Providence Rd","9-wild EBTs & 11 wild BT sampled. Area surveyed at Rt 122A S channelized. Beyond area natural flow w/ bends & pools w/ riffles. CFR"
42.31002,-72.21214,"8/30/2007","Ware River",NA,0,"Backpack Shocking",0,0,0,7,0,0,"Bridge St crossing (covered bridge), E of Rt 32","Rocky w/ drop down deep pool. 6 BT in pool (225-401). Used 2 backpacks w/ rat tails."
42.47197,-72.67249,"8/30/2007","Roaring Brook (1)",96,5,"Backpack Shocking",7,0,0,0,0,0,"Roaring Brk Rd xing (above reservoir)","Shady, hemlocks, cloudy water. CFR"
42.61888,-72.90807,"9/3/2008","Chickley River",30,3,"Backpack Shocking",7,1,0,0,0,0,"US of green bridge on Rt 8A","2 backpacks used"
42.53614,-72.74192,"9/3/2008","Bear River",70,6,"Backpack Shocking",70,7,0,0,0,0,"off Sabin Rd, Pfersick Rd xing","lots of slamon & trout downstream of culvert"
42.28118,-72.73223,"9/2/2008","North Branch Manhan River",65,4.5,"Backpack Shocking",1,1,1,1,0,0,"Along Loudville Rd, down trail","site would be better w/ 2 bkpks. Found eel ~500mm in length, couldn't measure b/c no long board available. Missed some fish; dace, AS, shiners. 2 LF pages"
42.30361,-72.765,"9/2/2008","Sodom Brook",100,0,"Backpack Shocking",16,1,18,2,0,0,"DS of Southampton Rd xing","Sampled DS of culvert. Open arch rd xing. Boulder, gravel substrate w/ good habitat diversity. Runs along residence. Found adult & juv BT"
42.30555,-72.7545,"9/2/2008","North Branch Manhan River",91.40000153,0,"Backpack Shocking",3,6,9,1,0,0,"across from Stage Rd, along Easthampton Rd","2 LF sheets"
42.0906,-72.81324,"8/29/2008","Munn Brook",110,1,"Backpack Shocking",8,5,6,3,0,0,"Bridge Loomis Rd, just N of Geo Loomis Rd","2 backpacks used"
42.07309,-72.8463,"8/29/2008","Dickinson Brook",107,3,"Backpack Shocking",39,3,5,2,0,0,"along Granville Rd, 0.5mi N of Sodom St",""
42.70396,-72.41869,"8/28/2008","Mill Brook",94,3,"Backpack Shocking",8,0,3,3,0,0,"upper bridge, Warwick Rd xing, 0.75mi NE of School St",""
42.64505,-72.54275,"8/28/2008","Fall River",126,2,"Backpack Shocking",2,4,0,0,0,2,"Closed bridge on Bascom Rd","2 backpacks used"
42.68494,-72.54416,"8/28/2008","Fall River",NA,0,"Backpack Shocking",1,1,0,0,0,0,"off Meadow Rd, S of Burke Flat Rd","hundreds of tiny sculpins- too small to catch. 2 backpacks used"
42.62982,-72.64536,"8/27/2008","Hinsdale Brook",NA,0,"Backpack Shocking",5,3,0,0,0,0,"upstream of Colrain Greenfield Rd xing",""
42.72146,-72.59006,"8/28/2008","Shattuck Brook",NA,0,"Backpack Shocking",10,2,0,0,0,0,"Keets Brook Rd ~1mi W of Rt 5, across from trib confluence",""
42.68265,-72.91724,"8/27/2008","Pelham Brook",100,1,"Backpack Shocking",15,2,0,0,0,0,"off Zoar Rd 1/3 mi N of Brittingham Hill Rd","perfect salmon habitat"
42.70421,-72.78285,"8/26/2008","Sanders Brook",66,3,"Backpack Shocking",64,11,0,1,0,0,"upstream from Adamsville Rd, E of townline",""
42.70466,-72.83549,"8/26/2008","West Branch Brook",92,1.600000024,"Backpack Shocking",18,5,0,0,0,0,"downstream from Rt 8A xing, West of Stetson Rd","Missed some BND, SC & some AS& EBT. Found CRC (3). Clear, cool water, good flow. Abundant riffles & sm plunge pools. Shocked up to & under bridge (open arch). Concrete wall lining bank on R bank (facing US) before bridge (DS)"
42.73575,-72.675,"8/25/2008","Green River, VT",91.40000153,2.700000048,"Backpack Shocking",4,0,0,0,0,0,"N of MA/VT stateline 0.2mi on Green River Rd","2 backpacks used"
42.78859,-72.66805,"8/25/2008","Green River, VT",91.40000153,1.299999952,"Backpack Shocking",5,0,0,0,0,0,"Along Green River Rd, 0.7mi S of Harris Dr",""
42.75863,-72.76076,"8/22/2008","Branch Brook, VT",100,2.5,"Backpack Shocking",24,3,0,0,0,0,"Branch Rd off Rt 112, downstream of xing","2 backpacks used"
42.75838,-72.76137,"8/22/2008","North River (EB), VT",25,2,"Backpack Shocking",4,1,0,0,0,0,"@ Branch Rd xing, off Rt 112","2 backpacks used."
42.72792,-72.71307,"8/22/2008","East Branch North River",120,2.5,"Backpack Shocking",0,1,0,0,0,0,"Rt 112 - downstream from bridge, just N of Thompson Rd","2 backpacks used"
42.40815,-72.88915,"8/19/2008","West Branch Brook",78,0.5,"Backpack Shocking",10,3,0,0,0,0,"off Rt 143, 0.8 mi W of Cummington Rd","High water, good visibility. Below index site, start reach above large pool. 2 backpacks used"
42.41079,-72.87694,"8/19/2008","Tower Brook (1)",35,1,"Backpack Shocking",68,19,0,0,0,0,"Mount Rd- upstream from bridge","2 backpacks used"
42.44748,-72.85798,"8/19/2008","Swift River",NA,0.5,"Backpack Shocking",3,4,0,0,0,0,"Rt 9-112 (upstream from bridge) xing, 0.25mi N of Wilder Rd","fast moving, high water. 2 backpacks used"
42.38399,-72.71655,"8/18/2008","Mill River (2)",100,1,"Backpack Shocking",1,0,0,0,0,0,"off Rt 9 across from Kellogg Rd","2 backpacks"
42.40843,-72.73636,"8/18/2008","East Branch Mill River",NA,1,"Backpack Shocking",6,1,0,2,0,0,"along Ashfield Rd, 0.8mi N of Village Hill Ave","2 backpacks used"
42.40459,-72.74988,"8/18/2008","West Branch Mill River",60,1,"Backpack Shocking",4,5,0,0,0,0,"Village Hill Rd next to Rt 9","2 backpacks used"
42.59954,-72.90806,"8/15/2008","Mill Brook (3)",100,2,"Backpack Shocking",36,4,0,0,0,0,"Bridge, Middle Rd xing",""
42.61204,-72.91171,"8/15/2008","Chickley River",28,1,"Backpack Shocking",0,0,3,3,0,0,"lower site (below Mill Br), Along Rt 8A, 0.5mi N of Pudding Hollow Rd","missed lots of fish- fast water. 2 backpacks used"
42.4876,-72.74562,"8/14/2008","Poland Brook",63.40000153,2.5,"Backpack Shocking",15,3,0,0,0,1,"Bridge- upper site, Poland Rd xing",""
42.50985,-72.7599,"8/15/2008","South River",13.76000023,9.100000381,"Backpack Shocking",7,6,1,0,0,0,"upper site, off Rt 116 0.25mi E of Bullitt Rd","2 backpacks used"
42.5409,-72.72717,"8/14/2008","Bear River",35.09999847,2.599999905,"Backpack Shocking",23,7,0,0,0,0,"off S. Shirkshire Rd, @ powerlines",""
42.31483,-73.09634,"8/13/2008","Yokum Brook",NA,3,"Backpack Shocking",12,3,0,0,0,0,"County Rd off Rt 8","2 backpacks used"
42.33136,-73.09196,"8/13/2008","Shaker Mill Brook",39,2.5,"Backpack Shocking",29,5,0,0,0,0,"Lovers Lane Rd xing, US 300ft","2 backpacks used"
42.35867,-73.0959,"8/13/2008","Depot Brook",39.29999924,1.200000048,"Backpack Shocking",12,6,0,0,0,0,"Lower Valley Rd xing","2 backpacks used"
42.31927,-73.08852,"8/13/2008","Yokum Brook",25,1.200000048,"Backpack Shocking",13,7,0,0,0,0,"along Route 8, 0.5mi N of County Rd, near cemetary","2 backpacks used"
42.63845,-72.86827,"8/11/2008","Mill Brook (2)",NA,0.899999976,"Backpack Shocking",29,1,0,0,0,0,"Farm xing, along Rt 8A, 3/4mi N of Rt 2","2 backpacks used. 3- 1+ AS were not measured but tallied on LF sheet."
42.65028,-72.86666,"8/11/2008","Maxwell Brook",34.40000153,2.700000048,"Backpack Shocking",25,6,0,0,0,0,"Along Maxwell Rd, 0.2mi N of Rt 8A",""
42.66201,-72.85323,"8/11/2008","Mill Brook (2)",20.70000076,2.700000048,"Backpack Shocking",55,10,0,0,0,0,"Along Rt 8A, 0.16mi E of townline",""
42.43599,-72.92981,"8/8/2008","Kearney Brook",24.70000076,2.299999952,"Backpack Shocking",58,1,0,0,0,0,"behind Rod & Gun Club off Rt 112","H2O high but clear. Poor 0+ survival last year."
42.25117,-72.9044,"8/7/2008","Roaring Brook (2)",27.39999962,1.399999976,"Backpack Shocking",5,1,0,0,0,0,"Skyline Drive 0.8 mi N of Old State Hgwy",""
42.23083,-72.85743,"8/7/2008","Roaring Brook (1)",25,1.5,"Backpack Shocking",19,6,0,0,0,0,"@ Carrington Rd xing, 0.6mi S of Main Rd",""
42.28398,-72.8465,"8/7/2008","Pond Brook (4)",25.29999924,1.799999952,"Backpack Shocking",12,1,0,0,0,0,"along Rt 66, 0.5mi W of Searle Rd","H2O a little high but clear. Pool 0+ survival in '07"
42.48023,-72.90498,"8/5/2008","Mill Brook",NA,NA,"Backpack Shocking",23,4,0,0,0,0,"Stage Rd bridge",""
42.45559,-72.84002,"8/5/2008","Stones Brook",56.70000076,4.599999905,"Backpack Shocking",3,3,0,0,0,0,"Loomis Rd bridge","Good- a little dark H2O. Very few 1+ (sick last season)"
42.5134,-72.92239,"8/5/2008","Mill Brook",NA,NA,"Backpack Shocking",13,1,0,0,0,0,"River Road, US of xing, 0.25mi S of W. Hill Rd",""
42.48659,-72.97665,"9/5/2008","Westfield Brook",100,6,"Backpack Shocking",3,0,0,0,0,0,"Along River Rd, 0.25mi S of Rt 9",""
42.42909,-72.77451,"9/8/2008","West Branch Mill River",NA,0,"Backpack Shocking",1,5,0,0,0,0,"Dirt Road xing, Road off East St, 0.1mi N of Rt 9","Road goes to gravel pit, lower road that is just N of Old Goshen Rd"
42.6653,-72.93568,"9/19/2008","Pelham Brook",100,2,"Backpack Shocking",4,0,25,1,0,0,"Rowe Rd xing","2 backpacks used"
42.16528,-72.8503,"9/18/2008","Potash Brook",103,2.900000095,"Backpack Shocking",6,6,0,0,0,0,"E of Pike xing, on Blandford Rd",""
42.31649,-73.02663,"9/18/2008","Factory Brook",100,4.300000191,"Backpack Shocking",8,2,0,2,0,0,"Bridge, US of Town Hill Rd xing, Bancroft","2 backpacks used"
42.2705,-73.00086,"9/18/2008","Walker Brook (2)",93,3.400000095,"Backpack Shocking",4,0,7,1,0,0,"Lower site, Blandford Rd xing just S of Rt 20","2 backpacks used"
